"X","NADK","CHDH","DGKA","SDHA","CETP","FH","OGDH","CHRNE","SLC6A4","ALDH2","LPCAT3","LDHB","GLS","ODC1","KYNU","MTR","PANK2","PRMT1","IMPA1","LDHA","GCSH","ADCYAP1","PGD","GALM","IPMK","DDAH1","CPT2","PANK4","SMPD1","TK2","MAT2A","KYAT1","CTPS1","MSRA","MTHFR","GLDC","TH","ACADSB","GFPT1","DDO","SDHD","HOGA1"
"ACH-000672",5.33842441478356,0.0840642647884745,5.21451341008002,5.96970308801354,0,5.84574093261458,4.98823022306046,0.111031312388744,0,6.43895814789755,5.52387555132852,11.442736197186,6.32337006906127,6.52935246299125,1.01435529297707,3.88068552526112,4.42827641439251,8.61065577440193,4.57288966842058,11.0535186664818,4.68144926531496,0,6.05202456048283,3.75915583380027,3.00180224263398,5.17312743348066,3.5933537709803,4.27202318906105,5.81941272620656,3.53106949272595,7.29939120612683,2.88557436437143,6.72082566608984,2.99457972421575,2.03562390973072,1.48542682717024,0.27500704749987,1.98185265328974,4.83693401132109,0.0426443374084937,6.82705683650015,0.0565835283663675
"ACH-000677",5.16992500144231,4.1906148602095,4.41074812818595,7.04843238023264,0.137503523749935,6.89336221076387,5.67270819562222,0.250961573533219,0.137503523749935,3.87479696589867,5.12018602753186,9.90879789959889,7.69083609791913,7.49105137636412,0.422233000683048,4.12763327972587,5.0232553523003,7.61559285651096,5.02635744696384,9.80374366850522,5.00495075995105,0,5.92647391125607,3.09761079662642,2.91073266190291,6.2473579161311,3.71699089440494,3.17791779219584,3.98185265328974,4.17312743348066,7.83067364913184,4.29939120612683,7.50787390697935,2.61353165291793,2.36176835941915,1.81557542886257,0,2.6667565918848,5.72109918870719,0.286881147788161,6.77386449388333,1.28095631383106
"ACH-000681",4.32768736417605,1.08406426478847,4.16510798514454,6.18189764310839,0.01435529297707,6.41295084580588,4.50207595604579,0.0976107966264223,0.01435529297707,5.43962313755712,4.93498820178348,11.1331422124006,7.3887922565875,6.70390357344466,8.04313667812303,2.66448284036468,5.03738222200308,8.27118286574389,4.92552476974757,10.9231788994938,6.29259772026645,0.01435529297707,9.48188013962028,4.49825086752783,1.92599941855622,2.59931779369823,2.21101219348551,3.09085343045111,2.45680614923047,3.26153081524341,8.00641023912548,2.85996954822103,7.45046896352823,2.98732086592925,1.40053792958373,5.37121034345557,0.070389327891398,2.94485844580754,5.48510476108097,0.0976107966264223,6.36509758975147,1.62760683812965
"ACH-000733",5.81813476081085,2.04264433740849,4.37781785308364,7.66526484671343,0.0565835283663675,6.00135189299996,5.88068552526112,0.263034405833794,0.0565835283663675,6.36124198846498,4.22032995487956,10.0365857522623,7.7113572383413,6.8820316083521,0.545968369105293,3.31614574229336,5.68706068833989,7.45918568374892,4.7839804136838,9.66645481554519,4.56742375770728,0.0565835283663675,6.26096656451949,4.87135084063403,2.114367024952,5.87528859822269,3.29130885982897,3.88849973551412,3.72574115650395,4.06177619758669,6.36387192485753,1.37851162325373,5.47053686509258,3.03562390973072,2.16992500144231,0.799087306074004,0.0840642647884745,2.67355642399014,6.18130136492636,0.344828496997441,6.85362145574883,0
"ACH-000744",5.87725345387661,1.28688114778816,5.41616416473313,7.0302257088616,0.070389327891398,6.16992500144231,6.90893296724454,0.31034012061215,0.070389327891398,1.66448284036468,6.04264433740849,9.50622822821106,4.84899843040002,6.14465824283188,5.11186596386756,2.94110631094643,5.15299460549244,8.02552718257317,4.35120427725799,8.63081315229913,5.27276973243651,0.070389327891398,8.46931620756914,2.9297909977186,1.42223300068305,3.0232553523003,3.68818035858693,3.84899843040002,3.47118746038699,3.49697358099828,8.2137360959228,1.87578006306849,5.26791028088483,2.58736499093646,2.55826763405574,0.150559676575381,0.286881147788161,2.46988597627446,4.75968848842729,0,6.84121837392389,0
"ACH-000747",5.62322307589651,0.0840642647884745,2.13422093976063,7.89717990857398,0.0285691521967709,6.47069954142369,5.98891186495402,0.16349873228288,0.124328135002202,0.887525270741587,5.85124932023306,11.4241137880433,5.32732808262995,8.21965256510381,4.81608765860021,3.54101915313356,4.57893871309339,8.13309082430674,5.63517394667492,8.74150069383543,5.66618848987278,0.0285691521967709,6.87159726561385,0.0976107966264223,2.36457243229586,3.45154083301783,2.99819550315325,4.16269343221124,1.79493566280354,3.73009646559547,7.58886451819015,2.03562390973072,6.89372623659722,2.72900887033786,2.78450398292957,2.55826763405574,0.0285691521967709,2.20789285164133,4.27724089833207,0.0426443374084937,6.44939629708678,0.16349873228288
"ACH-000749",5.8522485895654,1.02147972741045,2.31324585178756,6.78044134262235,0.137503523749935,6.94591197787334,5.70542503904273,0,0.0285691521967709,1.6915341649192,4.58135124716878,9.84572525378829,5.78528898070402,8.46156130000189,0.070389327891398,3.69376571221778,4.58255600301406,8.50965625910765,3.854993016757,9.94680395203067,6.77610398807316,0.400537929583729,7.12722055048807,0.150559676575381,2.10097764772482,4.27724089833207,4.27872821293894,4.01346225980656,2.4594316186373,2.27798474729977,7.75788999032499,3.38266725274504,9.98840066372944,2.38681094647222,2.98185265328974,5.94110631094643,0,2.86789646399265,4.0408924306469,2.60880924267552,6.87405920314115,1.56071495447448
"ACH-000766",7.17582396717241,0.526068811667588,5.71204544855369,6.2688460628732,0.070389327891398,6.68957872550933,4.48413813120167,0.137503523749935,0.0565835283663675,4.63284983011771,5.06047978140759,10.0932855038779,5.43128865429159,6.63705953841085,7.6244664948533,2.63923216324928,5.02901108665907,7.69258063251088,4.29939120612683,9.88558961605672,5.19927972133662,0.0426443374084937,8.12887075946512,3.45549162062847,2.87578006306849,3.24944534108584,4.10601323762212,4.27426166125705,3.22342254993494,3.73660487531425,7.80632405739003,2.38681094647222,4.71039319217052,1.83592407425437,2.40871186102943,0.526068811667588,0.516015147003665,2.29278174922785,4.40803246613065,1.55090066464752,6.94649694120329,1.81557542886257
"ACH-000769",5.30742852519225,1.75274859140713,4.83238371654913,7.11488753404625,0,6.65162578392064,5.35085080548338,0.0285691521967709,0.0426443374084937,6.61441538650813,4.57773093149008,10.8242427825657,5.41683974191283,8.83165560229942,0.176322772640463,3.68144926531496,4.54843662469604,7.92996848372988,4.83086375675176,9.08443637427252,5.98891186495402,0.01435529297707,7.43387749735076,2.43295940727611,1.55581615506164,2.58255600301406,4.02856915219677,3.51601514700366,2.62993940943954,3.0071955014042,8.14598307855042,3.13914201914569,5.77636722957392,1.95977015521147,1.82781902461732,6.27071580787426,0.0565835283663675,2.04264433740849,4.55336050333533,0,7.29893319315721,0.0565835283663675
"ACH-000774",5.54596836910529,1.35614381022528,5.64212391615349,5.4262647547021,0.01435529297707,5.6562103201826,5.6450098843911,0.0840642647884745,0.0285691521967709,0.31034012061215,4.5453506448223,9.16669034217563,5.20750245925879,6.40463068421761,0.422233000683048,2.86393845042397,4.42155994490182,7.55704241526372,3.04439411935845,10.4534764246166,5.22226360352835,0.150559676575381,5.99050111136325,3.24792751344359,1.71369581484336,4.04264433740849,2.79701297783614,4.38681094647222,4.86492897228979,3.44360665147561,6.25964912064916,1.49569516262407,6.37190729759515,2.68032435684402,2.17312743348066,1.28095631383106,0.0565835283663675,2.37851162325373,4.36667191611176,0.464668267003444,5.1622906135458,0.111031312388744
