brain,lung,liver,bone,kidney,DepMap_ID
NonMetastasis,Metastasis,Metastasis,NonMetastasis,Metastasis,ACH-000947
Metastasis,Metastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000948
NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,Metastasis,ACH-000950
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000954
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000955
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000957
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000958
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000959
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000961
NonMetastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000962
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000965
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000966
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000967
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000970
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000971
NonMetastasis,Metastasis,Metastasis,NonMetastasis,Metastasis,ACH-000972
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000974
NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,ACH-000978
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000982
NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,ACH-000984
NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,Metastasis,ACH-000985
NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000988
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000990
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000991
Metastasis,NonMetastasis,Metastasis,Metastasis,NonMetastasis,ACH-000994
NonMetastasis,Metastasis,NonMetastasis,Metastasis,NonMetastasis,ACH-000996
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000997
NonMetastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-001145
