"X","MDH1","L2HGDH","ITPA","PRMT1","SLC6A8","KYAT3","AASDHPPT","PANK4","ALDH7A1","TK1","MTHFR","PIPOX","INPP5J","DDO"
"ACH-000971",8.04297258321952,3.65420637794429,6.36859376265085,8.71414246433983,6.16972461321491,3.92789645372882,5.99909803370561,4.20867331962947,6.08894720461877,8.16138386011199,1.86789646399265,0.070389327891398,2.04264433740849,0.01435529297707
"ACH-000972",7.3077927961299,3.57167680997093,5.97819562968165,8.33413917883824,5.80426011563474,4.34482849699744,5.12267271882414,4.13010717865883,5.49761236561836,6.49920809085669,2.3533232911629,0.070389327891398,0.948600847493356,1.07724299893246
"ACH-000973",8.07301684657949,4.36176835941915,6.67398035122985,9.26526341264247,6.43145581668572,4.70873904135958,5.38577613826941,4.24336442569366,5.61941301059794,7.56262403909987,1.62760683812965,0.263034405833794,3.11270013274936,0.321928094887362
"ACH-000974",6.43729433149714,2.81966818349646,6.309067020588,8.30674526918095,3.53729606709084,3.86987140617771,5.05137210172103,3.65992455840238,5.0518071070133,4.62819033461521,2.67129337248158,0.632268215499513,2.32768736417605,0.01435529297707
"ACH-000977",6.55765515472542,3.72465027173297,5.51443791382931,7.86826697164548,7.06533534687803,3.25701061820602,4.65191274464578,5.00764403087801,0.594548549550354,6.77399632511117,3.79597469420667,1.53106949272595,3.92029330021101,2.59693514238723
"ACH-000978",7.69146437341683,4.04614178164472,6.13175409098481,8.98296506265287,6.50795316940504,4.21955576916691,4.89336221076387,3.79389588254888,6.77570903573939,5.79207446192887,4.18269229751619,2.35895882583233,3.70043971814109,0.0426443374084937
"ACH-000982",7.19643000095457,4.62527048937469,5.80271021929134,8.10768786931437,5.47638168756724,5.25058266478754,4.84498815668261,4.28762004411207,6.13934670028966,6.86888427302877,3.63110428236588,0.422233000683048,2.98732086592925,0.01435529297707
"ACH-000984",7.83187724119167,4.41142624572647,5.75675645130727,7.89742196134765,6.19593810042783,4.16027483140859,5.65334669272218,4.67694435910691,0.333423733725192,7.49769219381265,3.42088657497553,0.863938450423971,4.28762004411207,0.070389327891398
"ACH-000985",6.88545234508427,4.09845324630927,5.96069703930431,7.71087529578098,4.65133876610593,4.54843662469604,4.32048467801769,3.73443866613717,6.20847824221171,6.99830835035429,2.81352468929781,0.475084882948783,2.65535182861255,0.189033824390017
"ACH-000988",7.5978290978269,3.53480866123175,6.47654370621426,8.4258033540251,6.15137177625395,3.48284828306847,4.9174317553901,3.66562016406638,7.4797802640291,7.29627384670672,2.83794324189103,0.0565835283663675,2.57773093149008,0
"ACH-000990",7.01870093106446,3.47767732756531,5.82959589917751,7.84310449661493,6.62043978765172,3.41006969175638,4.60169651648096,4.20398416585599,6.46581125447608,6.53434179481026,4.09508049190141,1.26903314645524,3.06522762277562,0.0285691521967709
